Price,ratings,Page number,Original_price,Discount,Brands,processor,number_of_ratings,number_of_reviews,RAM,Storage
124900,4.7,19,92990,41%,Apple,Apple,1920,134,16,256
33850,4.3,19,46167,26%,Acer,Intel,867,59,8,512
112990,4.1,19,132590,14%,Lenovo,AMD,17,3,24,512
65990,4.4,19,111890,41%,Lenovo,Intel,526,55,16,512
64990,4.4,19,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,19,56919,31%,DELL,AMD,2013,135,16,512
89990,4.5,19,129990,30%,ASUS,Intel,37,1,16,512
40800,4.1,19,51355,20%,DELL,Intel,213,14,8,512
53990,4.4,19,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,19,59990,41%,Acer,AMD,2963,309,16,512
47990,4.2,19,75990,36%,MSI,AMD,11,1,16,512
39990,4.2,19,56963,29%,HP,Intel,638,44,16,512
33990,3.7,19,39990,15%,Acer,Intel,7,0,8,512
99990,4.4,19,92990,41%,Infinix,Intel,57,11,16,512
34900,4.1,19,53413,34%,HP,AMD,663,36,8,512
66990,4.4,19,98990,32%,ASUS,Qualcomm,703,51,16,512
96399,4.3,19,153190,37%,Lenovo,Intel,98,5,16,512
169900,4.1,19,92990,41%,Apple,Apple,703,51,16,512
39990,4.1,19,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,19,52115,30%,HP,Intel,2057,125,8,512
63899,4.5,19,103489,38%,Samsung,Intel,79,6,16,512
14989,3.6,19,29990,50%,Avita,Intel,1444,171,4,128
59981,4.3,19,77990,23%,ASUS,Intel,1153,124,8,512
61499,4.1,19,99999,38%,Acer,Intel,1165,113,16,512
64990,4.4,20,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,20,56919,31%,DELL,AMD,2013,135,16,512
62990,4.3,20,65990,4%,ASUS,Intel,56,5,16,512
29980,4.0,20,52900,43%,Lenovo,AMD,38,2,8,512
53990,4.4,20,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,20,59990,41%,Acer,AMD,2963,309,16,512
103799,4.6,20,153990,32%,Samsung,Intel,34,6,16,512
131990,3.5,20,138490,4%,DELL,Intel,11,0,16,512
36900,4.0,20,64990,43%,HP,Intel,77,6,16,512
34190,4.2,20,68990,50%,Lenovo,Intel,10,0,8,512
34900,4.1,20,53413,34%,HP,AMD,663,36,8,512
66990,4.4,20,98990,32%,ASUS,Qualcomm,703,51,16,512
104990,4.6,20,139990,25%,MSI,Intel,208,18,16,512
64990,4.2,20,89990,27%,ASUS,Intel,1315,79,16,512
39990,4.1,20,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,20,52115,30%,HP,Intel,2057,125,8,512
46218,3.7,20,79990,42%,ASUS,Intel,23,2,16,512
36990,4.0,20,70990,47%,DELL,Intel,164,10,16,512
64990,4.2,20,92990,41%,MSI,Intel,32,1,16,512
36885,4.4,20,45999,19%,HP,Intel,5537,579,8,256
38990,4.2,20,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,20,93990,47%,MOTOROLA,Intel,1825,198,16,512
73490,4.2,20,107690,31%,Lenovo,Intel,543,63,16,512
27990,4.0,20,32999,15%,HP,AMD,1775,130,4,256
64990,4.4,21,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,21,56919,31%,DELL,AMD,2013,135,16,512
58990,4.3,21,67990,13%,MSI,Intel,1531,116,8,512
129990,4.6,21,151990,14%,MSI,Intel,8,0,16,512
90990,4.5,21,117990,22%,MSI,AMD,72,8,16,512
65990,4.4,21,86990,24%,ASUS,AMD,2795,150,16,512
53990,4.4,21,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,21,59990,41%,Acer,AMD,2963,309,16,512
49990,4.1,21,66920,25%,DELL,AMD,703,51,16,512
74990,4.3,21,94990,21%,MSI,Intel,64,9,16,512
34900,4.1,21,53413,34%,HP,AMD,663,36,8,512
66990,4.4,21,98990,32%,ASUS,Qualcomm,703,51,16,512
84990,4.3,21,147990,42%,Samsung,Intel,25,0,16,512
98227,4.9,21,135990,27%,ASUS,Intel,22,2,16,512
15166,3.7,21,34554,56%,HP,MediaTek,7497,609,4,512
46999,4.4,21,69990,32%,ASUS,Intel,91,5,8,512
39990,4.1,21,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,21,52115,30%,HP,Intel,2057,125,8,512
46899,4.3,21,66990,29%,ASUS,Intel,8886,619,8,512
81990,3.5,21,99155,17%,DELL,Intel,15,3,16,512
38990,4.2,21,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,21,93990,47%,MOTOROLA,Intel,1825,198,16,512
51499,3.8,21,69999,26%,HP,Intel,63,0,16,512
57990,4.2,21,70000,17%,DELL,Intel,361,16,16,512
157990,4.6,22,191099,17%,HP,Intel,5,0,24,512
57990,4.0,22,87990,34%,MSI,Intel,57,7,16,512
64990,4.4,22,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,22,56919,31%,DELL,AMD,2013,135,16,512
20990,4.1,22,33935,38%,HP,Intel,703,51,4,512
35541,4.1,22,52990,32%,Lenovo,Intel,147,10,16,512
53990,4.4,22,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,22,59990,41%,Acer,AMD,2963,309,16,512
175990,4.5,22,193990,9%,MSI,Intel,57,6,32,512
37990,4.2,22,70990,46%,DELL,Intel,154,15,16,512
67490,4.2,22,88997,24%,DELL,Intel,206,13,16,512
38990,4.3,22,64990,40%,MSI,AMD,197,14,8,512
34900,4.1,22,53413,34%,HP,AMD,663,36,8,512
66990,4.4,22,98990,32%,ASUS,Qualcomm,703,51,16,512
53990,4.2,22,87500,38%,DELL,Intel,969,55,8,512
36990,4.3,22,48990,24%,ASUS,AMD,3,1,8,512
39990,4.1,22,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,22,52115,30%,HP,Intel,2057,125,8,512
97990,4.5,22,162290,39%,Lenovo,Intel,84,6,16,512
30990,4.2,22,43990,29%,ASUS,AMD,3006,275,8,512
54990,4.1,22,89990,38%,DELL,Intel,27,1,8,512
37290,4.4,22,76990,51%,Acer,Intel,8,1,24,512
38990,4.2,22,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,22,93990,47%,MOTOROLA,Intel,1825,198,16,512
39490,4.2,23,57790,31%,Lenovo,Intel,1938,102,16,512
22754,4.1,23,31156,26%,HP,Intel,2206,156,4,512
34990,4.1,23,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,23,92390,29%,Samsung,Qualcomm,1534,126,16,512
35879,4.0,23,63426,43%,HP,AMD,92,7,8,512
41855,4.1,23,60265,30%,DELL,AMD,70,8,8,512
61990,4.3,23,69990,11%,Lenovo,Intel,99,3,16,512
32990,4.2,23,49990,34%,Acer,Intel,254,16,8,512
38990,4.3,23,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,23,92990,41%,ASUS,Qualcomm,703,51,16,512
49999,4.3,23,72000,30%,Lenovo,AMD,186,15,8,512
56990,3.9,23,92990,38%,Lenovo,Intel,23,1,16,512
34900,4.1,23,53413,34%,HP,AMD,663,36,8,512
66990,4.4,23,98990,32%,ASUS,Qualcomm,703,51,16,512
94990,4.9,23,119990,20%,MSI,Intel,7,0,16,512
98227,4.9,23,135990,27%,ASUS,Intel,22,2,16,512
78999,4.0,23,92990,41%,ZEBRONICS,Intel,254,17,16,512
55990,4.0,23,98990,43%,HP,Intel,6,0,32,512
39990,4.1,23,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,23,52115,30%,HP,Intel,2057,125,8,512
35990,4.1,23,47877,24%,DELL,Intel,703,51,8,512
51450,4.0,23,64990,20%,ASUS,Intel,14,0,8,512
38990,4.2,23,54479,28%,DELL,Intel,399,30,16,512
44490,4.2,23,70990,37%,Lenovo,Intel,493,28,16,512
51990,4.4,24,81990,36%,ASUS,Qualcomm,356,33,16,512
33990,4.0,24,43499,21%,HP,AMD,1545,143,8,512
22990,3.6,24,30790,25%,Lenovo,Intel,125,8,8,512
37990,4.4,24,65990,42%,MSI,AMD,55,7,8,512
38990,4.3,24,56919,31%,DELL,AMD,2013,135,16,512
64990,4.4,24,92390,29%,Samsung,Qualcomm,1534,126,16,512
74939,3.9,24,109990,31%,Acer,Intel,94,14,16,512
31390,4.1,24,51999,39%,Lenovo,Intel,875,67,8,256
38990,4.2,24,54479,28%,DELL,Intel,399,30,16,512
53990,4.4,24,92990,41%,ASUS,Qualcomm,703,51,16,512
59490,3.8,24,98290,39%,Lenovo,Intel,13,1,16,512
45890,3.6,24,79990,42%,DELL,Intel,8,0,8,512
22754,4.1,24,31156,26%,HP,Intel,2206,156,4,512
139990,4.7,24,182990,23%,ASUS,Intel,12,0,32,512
34990,4.1,24,59990,41%,Acer,AMD,2963,309,16,512
34900,4.1,24,53413,34%,HP,AMD,663,36,8,512
37990,4.2,24,49900,23%,Acer,Intel,3176,213,8,512
61990,4.3,24,69990,11%,Lenovo,Intel,99,3,16,512
66990,4.4,24,98990,32%,ASUS,Qualcomm,703,51,16,512
35990,4.1,24,52115,30%,HP,Intel,2057,125,8,512
47999,4.2,24,69999,31%,HP,AMD,737,45,16,512
35990,4.5,24,49990,28%,Lenovo,Intel,6,0,8,256
63990,3.9,24,95500,32%,Lenovo,Intel,37,3,16,512
39228,4.2,24,82990,52%,HP,Intel,95,7,16,512
72990,4.3,25,98040,25%,DELL,Intel,197,21,16,512
34990,4.1,25,59990,41%,Acer,AMD,2963,309,16,512
49990,4.1,25,66920,25%,DELL,AMD,703,51,16,512
135899,4.4,25,154550,12%,Samsung,Intel,21,1,16,512
64990,4.4,25,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,25,56919,31%,DELL,AMD,2013,135,16,512
59990,4.3,25,82990,27%,MSI,Intel,74,1,16,512
39990,4.2,25,56963,29%,HP,Intel,638,44,16,512
35490,4.2,25,44990,21%,HP,Intel,71,1,8,512
132990,4.3,25,139990,5%,Lenovo,Intel,350,29,24,512
72490,4.3,25,94762,23%,DELL,Intel,197,21,16,512
53990,4.4,25,92990,41%,ASUS,Qualcomm,703,51,16,512
78990,4.1,25,106331,25%,DELL,Intel,155,9,16,512
31990,4.1,25,36812,13%,HP,AMD,4005,295,8,256
34900,4.1,25,53413,34%,HP,AMD,663,36,8,512
66990,4.4,25,98990,32%,ASUS,Qualcomm,703,51,16,512
41900,4.1,25,50843,17%,HP,Intel,703,51,8,512
27999,3.8,25,31964,12%,HP,Intel,454,32,8,512
124000,4.4,25,142999,13%,Acer,Intel,532,54,16,512
34400,4.2,25,74990,54%,HP,Intel,193,14,8,512
35990,4.1,25,52115,30%,HP,Intel,2057,125,8,512
38990,4.2,25,54479,28%,DELL,Intel,399,30,16,512
41099,4.4,25,48419,15%,HP,AMD,391,30,8,512
105990,3.2,25,123990,14%,MSI,Intel,5,0,16,512
34990,4.1,26,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,26,92390,29%,Samsung,Qualcomm,1534,126,16,512
37395,4.0,26,49999,25%,HP,Intel,383,35,16,512
36345,3.9,26,51990,30%,ASUS,Intel,380,39,8,512
49990,4.1,26,82990,39%,HP,Intel,703,51,16,512
14989,3.6,26,29990,50%,Avita,Intel,1444,171,4,128
38990,4.3,26,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,26,92990,41%,ASUS,Qualcomm,703,51,16,512
63490,4.2,26,75142,15%,HP,Intel,970,46,16,512
36990,4.4,26,43990,15%,ASUS,AMD,51,2,8,512
34900,4.1,26,53413,34%,HP,AMD,663,36,8,512
39990,4.1,26,50903,21%,HP,Intel,2057,125,16,512
43290,3.0,26,80990,46%,DELL,Intel,4,0,32,512
62990,4.1,26,65990,4%,ASUS,Intel,703,51,16,512
97990,4.2,26,123090,20%,Lenovo,Intel,185,13,16,512
40990,4.2,26,60990,32%,ASUS,AMD,935,49,16,512
66990,4.4,26,98990,32%,ASUS,Qualcomm,703,51,16,512
35990,4.1,26,52115,30%,HP,Intel,2057,125,8,512
37999,4.1,26,45990,17%,HP,Intel,703,51,8,512
37490,4.2,26,61440,38%,DELL,Intel,29,0,8,512
38990,4.2,26,54479,28%,DELL,Intel,399,30,16,512
44490,4.2,26,70990,37%,Lenovo,Intel,493,28,16,512
35990,3.8,26,57999,37%,ASUS,Intel,564,39,8,512
37990,5.0,26,58990,35%,DELL,Intel,7,0,8,256
36990,4.0,27,70990,47%,DELL,Intel,164,10,16,512
25999,3.4,27,41990,38%,DELL,Intel,7,0,4,256
34990,4.1,27,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,27,92390,29%,Samsung,Qualcomm,1534,126,16,512
82990,4.2,27,94999,12%,Acer,Intel,98,7,16,512
51990,4.5,27,69990,25%,MSI,Intel,23,2,16,512
50990,4.1,27,62190,18%,DELL,Intel,62,3,16,512
38990,4.3,27,56919,31%,DELL,AMD,2013,135,16,512
73999,4.1,27,85000,12%,Lenovo,Intel,167,19,16,512
79890,4.2,27,103436,22%,DELL,Intel,346,37,16,512
109990,5.0,27,132645,17%,HP,AMD,3,2,16,512
65990,4.8,27,91890,28%,Lenovo,Intel,9,0,24,512
53990,4.4,27,92990,41%,ASUS,Qualcomm,703,51,16,512
34900,4.1,27,53413,34%,HP,AMD,663,36,8,512
35499,4.2,27,48000,26%,HP,Intel,7326,577,8,512
50990,4.2,27,85000,40%,Lenovo,Intel,493,28,16,512
66990,4.4,27,98990,32%,ASUS,Qualcomm,703,51,16,512
39990,4.1,27,50903,21%,HP,Intel,2057,125,16,512
78490,4.2,27,89000,11%,Lenovo,Intel,543,63,16,512
36938,4.0,27,58999,37%,HP,Intel,228,10,8,512
94990,4.9,27,135990,30%,ASUS,Intel,22,2,16,512
59990,4.1,27,79990,25%,Acer,Intel,1165,113,16,512
35990,4.1,27,52115,30%,HP,Intel,2057,125,8,512
38990,4.2,27,54479,28%,DELL,Intel,399,30,16,512
37395,4.0,28,49999,25%,HP,Intel,383,35,16,512
36345,3.9,28,51990,30%,ASUS,Intel,380,39,8,512
84990,4.3,28,179990,52%,ASUS,Intel,52,5,16,512
35879,4.0,28,63426,43%,HP,AMD,92,7,8,512
36269,4.1,28,49999,27%,HP,Intel,219,15,8,256
38750,4.1,28,69990,44%,Lenovo,Intel,152,13,8,512
25150,4.0,28,45000,44%,HP,AMD,87,6,4,256
66490,4.1,28,73990,10%,Lenovo,Intel,176,11,16,512
81999,4.1,28,95746,14%,HP,Intel,142,8,16,512
125990,4.4,28,194990,35%,Samsung,Intel,21,1,16,512
40990,4.2,28,60990,32%,ASUS,AMD,935,49,16,512
94990,4.9,28,135990,30%,ASUS,Intel,22,2,16,512
159199,4.5,28,181046,12%,Samsung,Intel,31,3,16,512
37999,4.1,28,45990,17%,HP,Intel,703,51,8,512
37490,4.2,28,61440,38%,DELL,Intel,29,0,8,512
41855,4.1,28,60265,30%,DELL,AMD,70,8,8,512
48999,4.7,28,92990,47%,Lenovo,Intel,9,0,16,512
35990,3.8,28,57999,37%,ASUS,Intel,564,39,8,512
40099,4.4,28,83990,52%,ASUS,AMD,1160,159,16,512
37900,4.1,28,59999,36%,HP,AMD,279,16,8,512
31690,3.8,28,53990,41%,HP,AMD,9,1,8,512
115990,4.2,28,140990,17%,Lenovo,Intel,195,28,16,512
59990,3.7,28,76901,21%,HP,Intel,72,2,16,512
37990,5.0,28,58990,35%,DELL,Intel,7,0,8,256
29980,4.2,29,46215,35%,Lenovo,AMD,2250,191,8,512
48099,4.4,29,54990,12%,MSI,Intel,136,12,8,512
51900,3.9,29,98900,47%,HP,Intel,14,2,16,512
25999,3.4,29,41990,38%,DELL,Intel,7,0,4,256
64990,4.4,29,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,29,56919,31%,DELL,AMD,2013,135,16,512
174699,4.5,29,198710,12%,Samsung,Intel,13,1,16,512
29990,3.9,29,42999,30%,HP,Intel,99,12,8,512
53990,4.4,29,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,29,59990,41%,Acer,AMD,2963,309,16,512
41460,4.0,29,55000,24%,Lenovo,Intel,117,9,8,512
51990,4.5,29,69990,25%,MSI,Intel,23,2,16,512
74990,4.4,29,118890,36%,Lenovo,Intel,526,55,16,512
79890,4.2,29,103436,22%,DELL,Intel,346,37,16,512
34900,4.1,29,53413,34%,HP,AMD,663,36,8,512
66990,4.4,29,98990,32%,ASUS,Qualcomm,703,51,16,512
82190,4.0,29,121690,32%,Lenovo,AMD,124,7,16,512
56990,3.9,29,92990,38%,Lenovo,Intel,23,1,16,512
39990,4.1,29,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,29,52115,30%,HP,Intel,2057,125,8,512
36500,4.0,29,65000,43%,Lenovo,Intel,117,9,8,512
13999,3.8,29,21990,36%,ASUS,Intel,164,10,4,512
30190,4.8,29,56990,47%,Lenovo,AMD,4,0,8,512
122990,4.1,29,145690,15%,Lenovo,AMD,703,51,24,512
64990,4.4,30,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,30,56919,31%,DELL,AMD,2013,135,16,512
77990,4.2,30,82414,5%,HP,Intel,166,14,16,512
35990,4.1,30,49999,28%,HP,AMD,12,1,8,512
53990,4.4,30,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,30,59990,41%,Acer,AMD,2963,309,16,512
51990,3.5,30,98990,47%,HP,Intel,14,0,16,512
91990,4.1,30,105000,12%,HP,AMD,111,3,16,512
41799,4.3,30,54990,23%,ASUS,AMD,7506,1129,8,512
124000,4.4,30,142999,13%,Acer,Intel,532,54,16,512
34900,4.1,30,53413,34%,HP,AMD,663,36,8,512
66990,4.4,30,98990,32%,ASUS,Qualcomm,703,51,16,512
119032,4.4,30,163289,27%,Samsung,Intel,70,5,16,512
52420,4.0,30,66734,21%,HP,Intel,17,2,32,512
39990,4.1,30,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,30,52115,30%,HP,Intel,2057,125,8,512
35990,4.1,30,66990,46%,Lenovo,Intel,703,51,16,512
102099,4.4,30,144999,29%,Acer,Intel,1353,112,16,512
70990,4.0,30,85990,17%,ASUS,AMD,30,1,16,512
41990,4.1,30,70990,40%,HP,AMD,703,51,16,512
38990,4.2,30,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,30,93990,47%,MOTOROLA,Intel,1825,198,16,512
32990,4.2,30,55190,40%,Lenovo,Intel,416,22,8,512
51450,4.0,30,64990,20%,ASUS,Intel,14,0,8,512
64990,4.4,31,92390,29%,Samsung,Qualcomm,1534,126,16,512
38990,4.3,31,56919,31%,DELL,AMD,2013,135,16,512
68990,4.2,31,81013,14%,HP,AMD,713,42,16,512
64990,4.2,31,77566,16%,HP,Intel,166,14,16,512
68499,4.2,31,78078,12%,HP,AMD,713,42,8,512
70499,4.3,31,90777,22%,HP,Intel,97,4,16,512
53990,4.4,31,92990,41%,ASUS,Qualcomm,703,51,16,512
34990,4.1,31,59990,41%,Acer,AMD,2963,309,16,512
176699,4.0,31,209289,15%,Samsung,Intel,36,4,32,512
36780,4.4,31,56990,35%,HP,AMD,857,116,8,512
34900,4.1,31,53413,34%,HP,AMD,663,36,8,512
66990,4.4,31,98990,32%,ASUS,Qualcomm,703,51,16,512
91990,4.4,31,154990,40%,MSI,Intel,73,4,16,512
72990,4.1,31,99999,27%,Lenovo,Intel,703,51,16,512
28780,4.1,31,46990,38%,Lenovo,Intel,2787,239,8,256
42699,3.9,31,60999,30%,ZEBRONICS,Intel,1118,141,8,512
39990,4.1,31,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,31,52115,30%,HP,Intel,2057,125,8,512
74990,4.1,31,84838,11%,HP,AMD,703,51,16,512
102699,4.7,31,109900,6%,Apple,Apple,1898,115,8,512
38990,4.2,31,54479,28%,DELL,Intel,399,30,16,512
48990,4.4,31,93990,47%,MOTOROLA,Intel,1825,198,16,512
70900,4.3,31,82999,14%,HP,Intel,124,10,16,512
32100,4.2,31,65654,51%,ASUS,AMD,171,12,8,512
77890,4.1,32,102317,23%,DELL,Intel,33,2,16,512
32990,4.3,32,50990,35%,ASUS,AMD,1618,151,8,512
34990,4.1,32,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,32,92390,29%,Samsung,Qualcomm,1534,126,16,512
85799,4.1,32,121790,29%,Lenovo,Intel,168,20,16,512
37890,4.2,32,41999,9%,HP,Intel,648,60,8,512
38990,4.3,32,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,32,92990,41%,ASUS,Qualcomm,703,51,16,512
53299,4.2,32,89999,40%,Acer,Intel,3879,306,16,512
56990,3.9,32,85990,33%,MSI,Intel,77,6,16,512
28780,4.1,32,46990,38%,Lenovo,Intel,2787,239,8,256
94990,4.7,32,99900,4%,Apple,Apple,1920,134,16,256
34900,4.1,32,53413,34%,HP,AMD,663,36,8,512
66990,4.4,32,98990,32%,ASUS,Qualcomm,703,51,16,512
50250,3.4,32,72690,30%,Lenovo,Intel,5,0,16,512
45990,4.1,32,92990,50%,Lenovo,Intel,229,19,16,512
39990,4.1,32,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,32,52115,30%,HP,Intel,2057,125,8,512
26990,3.9,32,49990,46%,HP,AMD,285,26,8,256
47999,4.2,32,69999,31%,HP,AMD,737,45,16,512
54990,4.2,32,67990,19%,HP,AMD,326,23,16,512
26790,3.7,32,40999,34%,ASUS,AMD,3,0,8,256
38990,4.2,32,54479,28%,DELL,Intel,399,30,16,512
44490,4.2,32,70990,37%,Lenovo,Intel,493,28,16,512
50999,4.2,33,64239,20%,HP,AMD,737,45,16,512
33888,4.2,33,42999,21%,HP,AMD,41,4,8,512
64990,4.4,33,92390,29%,Samsung,Qualcomm,1534,126,16,512
53990,4.4,33,92990,41%,ASUS,Qualcomm,703,51,16,512
32990,4.1,33,35147,6%,HP,AMD,4005,295,8,512
30990,3.5,33,39990,22%,HP,AMD,11,3,4,512
27990,3.9,33,38900,28%,Lenovo,Intel,494,38,8,256
61490,4.0,33,79990,23%,Lenovo,Intel,22,0,12,512
34990,4.1,33,59990,41%,Acer,AMD,2963,309,16,512
34900,4.1,33,53413,34%,HP,AMD,663,36,8,512
33990,4.3,33,39990,15%,Acer,Intel,32,1,8,512
82990,4.8,33,110990,25%,ASUS,Intel,17,0,16,512
66990,4.4,33,98990,32%,ASUS,Qualcomm,703,51,16,512
39990,4.1,33,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,33,49999,28%,HP,AMD,12,1,8,512
81990,4.3,33,135990,39%,ASUS,AMD,771,66,16,512
84399,4.1,33,137090,38%,Lenovo,Intel,703,51,16,512
34850,4.2,33,50990,31%,HP,Intel,209,17,8,512
35990,4.1,33,52115,30%,HP,Intel,2057,125,8,512
44490,4.2,33,70990,37%,Lenovo,Intel,493,28,16,512
48574,4.3,33,93900,48%,Samsung,Intel,1000,124,8,512
136999,4.5,33,184999,25%,ASUS,AMD,68,6,16,512
49990,4.3,33,93490,46%,Lenovo,Qualcomm,336,27,16,512
52490,4.2,33,65387,19%,HP,Intel,925,45,16,512
54990,3.6,34,84998,35%,Lenovo,Intel,5,0,8,512
74990,4.2,34,80999,7%,HP,AMD,339,35,16,512
21328,3.5,34,48990,56%,DELL,Intel,165,13,8,256
57299,4.1,34,73930,22%,HP,AMD,703,51,16,512
34990,4.1,34,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,34,92390,29%,Samsung,Qualcomm,1534,126,16,512
39099,4.1,34,50990,23%,Acer,Intel,19,1,8,512
140990,4.1,34,168617,16%,HP,Intel,703,51,24,512
50990,4.1,34,62190,18%,DELL,Intel,62,3,16,512
38990,4.3,34,56919,31%,DELL,AMD,2013,135,16,512
19198,3.4,34,39999,52%,Acer,Intel,31,3,8,256
32750,4.4,34,51999,37%,HP,AMD,1456,184,8,512
162399,4.5,34,199999,18%,Acer,Intel,33,0,16,512
199990,4.6,34,256999,22%,Acer,Intel,15,2,32,512
53990,4.4,34,92990,41%,ASUS,Qualcomm,703,51,16,512
34900,4.1,34,53413,34%,HP,AMD,663,36,8,512
102990,4.3,34,124319,17%,HP,AMD,70,4,16,512
67599,4.3,34,99000,31%,Lenovo,AMD,85,8,16,512
66990,4.4,34,98990,32%,ASUS,Qualcomm,703,51,16,512
39990,4.1,34,50903,21%,HP,Intel,2057,125,16,512
18405,3.7,34,24990,26%,ASUS,Intel,1596,218,4,512
122990,3.3,34,151875,19%,DELL,Intel,3,0,16,512
33850,4.3,34,46167,26%,Acer,Intel,867,59,8,512
55199,4.4,34,69990,21%,MSI,AMD,1648,237,8,512
38990,4.3,35,56919,31%,DELL,AMD,2013,135,16,512
64990,4.4,35,92390,29%,Samsung,Qualcomm,1534,126,16,512
53299,4.2,35,89999,40%,Acer,Intel,3879,306,16,512
56990,3.9,35,85990,33%,MSI,Intel,77,6,16,512
38990,4.2,35,54479,28%,DELL,Intel,399,30,16,512
53990,4.4,35,92990,41%,ASUS,Qualcomm,703,51,16,512
45990,4.1,35,92990,50%,Lenovo,Intel,229,19,16,512
29999,4.1,35,57569,47%,HP,Intel,703,51,8,512
34999,4.4,35,44990,22%,ASUS,Intel,2281,396,4,512
94990,4.7,35,99900,4%,Apple,Apple,1920,134,16,256
34990,4.1,35,59990,41%,Acer,AMD,2963,309,16,512
34900,4.1,35,53413,34%,HP,AMD,663,36,8,512
20695,4.0,35,31990,35%,ASUS,Intel,3454,444,4,512
31990,4.1,35,47999,33%,Acer,AMD,182,22,8,256
66990,4.4,35,98990,32%,ASUS,Qualcomm,703,51,16,512
35990,4.1,35,52115,30%,HP,Intel,2057,125,8,512
33990,4.2,35,39990,15%,Acer,Intel,25,2,8,512
37499,4.1,35,66990,44%,HP,Intel,703,51,8,512
48890,4.4,35,55990,12%,HP,AMD,134,23,8,512
76490,3.6,35,87763,12%,HP,AMD,14,1,16,512
39990,4.1,35,50903,21%,HP,Intel,2057,125,16,512
48990,4.4,35,93990,47%,MOTOROLA,Intel,1825,198,16,512
109990,5.0,35,132645,17%,HP,AMD,3,2,16,512
54990,3.6,35,84998,35%,Lenovo,Intel,5,0,8,512
34990,4.1,36,59990,41%,Acer,AMD,2963,309,16,512
64990,4.4,36,92390,29%,Samsung,Qualcomm,1534,126,16,512
61790,2.7,36,110990,44%,DELL,Intel,3,0,16,512
135899,4.9,36,167990,19%,Samsung,Intel,17,1,16,512
82990,4.3,36,131190,36%,Lenovo,Intel,333,40,16,512
59990,4.5,36,91999,34%,Acer,Qualcomm,112,24,16,512
38990,4.3,36,56919,31%,DELL,AMD,2013,135,16,512
53990,4.4,36,92990,41%,ASUS,Qualcomm,703,51,16,512
25499,4.2,36,43999,42%,Acer,Intel,13455,967,8,512
126299,4.1,36,132727,4%,HP,Intel,703,51,16,512
34900,4.1,36,53413,34%,HP,AMD,663,36,8,512
66990,4.4,36,98990,32%,ASUS,Qualcomm,703,51,16,512
32990,4.3,36,58990,44%,MSI,Intel,182,15,8,512
49990,4.0,36,64999,23%,Infinix,Intel,839,127,16,512
33990,4.2,36,39990,15%,Acer,Intel,25,2,8,512
37900,4.1,36,59999,36%,HP,AMD,279,16,8,512
39990,4.1,36,50903,21%,HP,Intel,2057,125,16,512
35990,4.1,36,52115,30%,HP,Intel,2057,125,8,512
62990,4.3,36,120990,47%,Samsung,Intel,726,78,16,512
40900,3.6,36,51997,21%,DELL,AMD,31,2,8,512
38990,4.2,36,54479,28%,DELL,Intel,399,30,16,512
44490,4.2,36,70990,37%,Lenovo,Intel,493,28,16,512
90199,4.2,36,139999,35%,Colorful,Intel,89,14,16,512
43990,4.0,36,80870,45%,Lenovo,Intel,18,1,8,512
29990,3.8,37,33990,11%,HP,Intel,1359,139,4,512
30999,3.0,37,75980,59%,Avita,Intel,2,1,8,512
34990,4.1,37,59990,41%,Acer,AMD,2963,309,16,512
